first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Ezekiel,Elliott,RB,,6,2023-10-15,,NE,LV,+3,41.5,19.3,4700,18,1.3,6.3,9.7,7.1,1.51
Lions,,DST,,6,2023-10-15,,DET,TB,-3,42.5,22.8,2700,8,0.0,8.4,16.0,7.1,2.63
Brandon,Powell,WR,,6,2023-10-15,,MIN,CHI,-3,44,23.5,3000,19,-1.0,1.9,9.2,7.1,2.37
Darnell,Mooney,WR,,6,2023-10-15,,CHI,MIN,+3,44,20.5,3700,31,0.0,4.9,15.3,7.1,1.92
Tyler,Allgeier,RB,,6,2023-10-15,,ATL,WAS,-1,42.5,21.8,4600,12,2.2,8.5,24.4,7.0,1.52
Braxton,Berrios,WR,Q,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,3400,5,3.3,7.6,17.4,6.9,2.03
Zach,Charbonnet,RB,,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,4200,16,1.1,4.2,5.5,6.8,1.62
Cade,Otton,TE,,6,2023-10-15,,TB,DET,+3,42.5,19.8,3200,30,2.6,7.3,10.3,6.8,2.13
David,Njoku,TE,Q,6,2023-10-15,,CLE,SF,+9.5,36,13.3,3700,7,4.4,8.6,14.2,6.7,1.81
Jameson,Williams,WR,,6,2023-10-15,,DET,TB,-3,42.5,22.8,3600,16,0.0,4.3,11.1,6.6,1.83
Jaguars,,DST,,6,2023-10-15,,JAX,IND,-3.5,44,23.8,3400,5,-4.0,8.0,20.0,6.6,1.94
Keaontay,Ingram,RB,Q,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,4500,9,-0.4,1.1,3.1,6.5,1.44
Cam,Akers,RB,,6,2023-10-15,,MIN,CHI,-3,44,23.5,4800,30,3.8,11.2,18.8,6.3,1.31
Saints,,DST,,6,2023-10-15,,NO,HOU,-1.5,42.5,22,3300,4,3.0,10.8,24.0,6.3,1.91
Patriots,,DST,,6,2023-10-15,,NE,LV,+3,41.5,19.3,2600,26,1.0,4.4,7.0,6.2,2.38
Salvon,Ahmed,RB,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,4500,31,0.0,3.3,7.8,6.1,1.36
Kenneth,Gainwell,RB,,6,2023-10-15,,PHI,NYJ,-6.5,42.5,24.5,4600,24,3.4,7.0,11.4,6.1,1.33
Bengals,,DST,,6,2023-10-15,,CIN,SEA,-2.5,44.5,23.5,2900,2,5.0,9.0,16.0,6.1,2.10
Buccaneers,,DST,,6,2023-10-15,,TB,DET,+3,42.5,19.8,2300,6,0.0,8.8,17.0,6.0,2.61
Alec,Pierce,WR,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,3300,23,1.5,4.1,7.3,6.0,1.82
Colts,,DST,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,3200,25,3.0,7.2,11.0,5.9,1.84
Durham,Smythe,TE,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,2900,21,0.0,4.7,8.1,5.8,2.00
Vikings,,DST,,6,2023-10-15,,MIN,CHI,-3,44,23.5,3000,28,2.0,5.6,17.0,5.8,1.93
Irv,Smith Jr.,TE,,6,2023-10-15,,CIN,SEA,-2.5,44.5,23.5,3000,12,0.0,3.9,7.3,5.8,1.93
Kylen,Granson,TE,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,2900,23,2.9,5.9,10.6,5.8,2.00
Raiders,,DST,,6,2023-10-15,,LV,NE,-3,41.5,22.3,3900,31,-2.0,3.6,12.0,5.8,1.49
Rams,,DST,,6,2023-10-15,,LAR,ARI,-6.5,47.5,27,3700,14,0.0,3.6,6.0,5.6,1.51
Hayden,Hurst,TE,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,3100,24,1.7,5.8,15.1,5.6,1.81
Noah,Fant,TE,,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,3000,28,0.0,5.6,9.6,5.6,1.87
Noah,Brown,WR,Q,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,3000,14,1.7,3.3,4.9,5.6,1.87
Jamal,Agnew,WR,,6,2023-10-15,,JAX,IND,-3.5,44,23.8,3000,24,-0.2,2.2,7.9,5.5,1.83
Mike,Gesicki,TE,,6,2023-10-15,,NE,LV,+3,41.5,19.3,2600,17,2.2,4.7,8.3,5.5,2.12
Commanders,,DST,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,3100,27,-1.0,4.6,11.0,5.4,1.74
Falcons,,DST,,6,2023-10-15,,ATL,WAS,-1,42.5,21.8,3600,29,1.0,4.0,12.0,5.2,1.44
Trey,Palmer,WR,,6,2023-10-15,,TB,DET,+3,42.5,19.8,3900,21,1.8,5.6,8.8,5.0,1.28
Raheem,Blackshear,RB,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,4000,17,0.0,4.3,11.9,5.0,1.25
Jets,,DST,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,2800,7,0.0,9.0,20.0,5.0,1.79
John,Metchie III,WR,,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,3100,14,2.7,3.3,4.0,5.0,1.61
Devin,Singletary,RB,,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,4300,5,0.0,4.1,8.8,4.9,1.14
Kareem,Hunt,RB,,6,2023-10-15,,CLE,SF,+9.5,36,13.3,4700,10,0.9,3.7,5.8,4.9,1.04
Mack,Hollins,WR,,6,2023-10-15,,ATL,WAS,-1,42.5,21.8,3300,28,0.0,4.7,9.0,4.9,1.48
Kalif,Raymond,WR,,6,2023-10-15,,DET,TB,-3,42.5,22.8,3800,16,3.0,7.7,13.7,4.8,1.26
Donovan,Peoples-Jones,WR,,6,2023-10-15,,CLE,SF,+9.5,36,13.3,3600,18,1.7,3.9,7.9,4.8,1.33
Kendre,Miller,RB,,6,2023-10-15,,NO,HOU,-1.5,42.5,22,4500,23,1.8,6.4,13.0,4.8,1.07
Cardinals,,DST,,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,2400,12,-3.0,5.8,19.0,4.7,1.96
Browns,,DST,,6,2023-10-15,,CLE,SF,+9.5,36,13.3,2200,1,2.0,6.8,12.0,4.6,2.09
Hunter,Renfrow,WR,,6,2023-10-15,,LV,NE,-3,41.5,22.3,3600,13,0.0,2.4,3.7,4.5,1.25
Taysom,Hill,TE,,6,2023-10-15,,NO,HOU,-1.5,42.5,22,3800,26,0.4,3.7,8.7,4.5,1.18
Dalvin,Cook,RB,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,4800,3,1.2,4.2,8.9,4.4,0.92
Deven,Thompkins,WR,,6,2023-10-15,,TB,DET,+3,42.5,19.8,3400,21,0.0,4.5,15.6,4.2,1.24
Olamide,Zaccheaus,WR,,6,2023-10-15,,PHI,NYJ,-6.5,42.5,24.5,3000,3,0.0,3.2,13.8,4.2,1.40
Drew,Ogletree,TE,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,2600,23,2.1,5.6,13.8,4.0,1.54
Ke'Shawn,Vaughn,RB,,6,2023-10-15,,TB,DET,+3,42.5,19.8,4200,2,0.0,1.7,5.4,3.8,0.90
Bears,,DST,,6,2023-10-15,,CHI,MIN,+3,44,20.5,2500,23,0.0,2.6,10.0,3.8,1.52
Trey,McBride,TE,,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,2500,29,1.2,3.2,5.2,3.7,1.48
Elijah,Mitchell,RB,Q,6,2023-10-15,,SF,CLE,-9.5,36,22.8,4700,4,1.0,8.3,17.5,3.7,0.79
Austin,Hooper,TE,,6,2023-10-15,,LV,NE,-3,41.5,22.3,2500,5,0.0,2.4,4.0,3.5,1.40
Josh,Oliver,TE,,6,2023-10-15,,MIN,CHI,-3,44,23.5,2500,25,0.0,3.9,8.4,3.5,1.40
Colby,Parkinson,TE,,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,2500,28,0.0,3.8,6.8,3.4,1.36
Michael,Carter,RB,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,4000,3,1.3,3.3,5.2,3.4,0.85
Ronnie,Rivers,RB,,6,2023-10-15,,LAR,ARI,-6.5,47.5,27,4300,29,0.0,1.8,7.7,3.3,0.77
Panthers,,DST,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,2000,13,-2.0,4.4,13.0,3.3,1.65
Jauan,Jennings,WR,,6,2023-10-15,,SF,CLE,-9.5,36,22.8,3600,1,0.0,3.0,7.1,3.3,0.92
Craig,Reynolds,RB,,6,2023-10-15,,DET,TB,-3,42.5,22.8,4300,15,0.0,2.8,11.2,3.3,0.77
Laviska,Shenault Jr.,WR,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,3000,20,0.7,2.4,4.1,3.3,1.10
Cedrick,Wilson Jr.,WR,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,3000,5,0.0,2.8,9.2,3.3,1.10
Kayshon,Boutte,WR,,6,2023-10-15,,NE,LV,+3,41.5,19.3,3000,11,0.0,0.0,0.0,3.2,1.07
Randall,Cobb,WR,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,3000,29,0.0,1.0,2.8,3.2,1.07
Foster,Moreau,TE,,6,2023-10-15,,NO,HOU,-1.5,42.5,22,2700,26,0.0,4.4,8.5,3.1,1.15
John,Bates,TE,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,2500,31,0.0,3.3,7.6,3.1,1.24
Tyler,Scott,WR,,6,2023-10-15,,CHI,MIN,+3,44,20.5,3000,31,0.0,1.4,3.4,3.1,1.03
Dyami,Brown,WR,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,3000,6,0.0,2.9,7.1,2.9,0.97
Kyle,Juszczyk,RB,,6,2023-10-15,,SF,CLE,-9.5,36,22.8,4000,4,0.0,2.9,12.6,2.9,0.73
Robert,Tonyan,TE,,6,2023-10-15,,CHI,MIN,+3,44,20.5,2500,19,0.0,1.4,3.8,2.7,1.08
Chris,Brooks,RB,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,4000,31,0.0,1.3,6.6,2.7,0.68
Tank,Bigsby,RB,,6,2023-10-15,,JAX,IND,-3.5,44,23.8,4100,20,0.0,3.0,7.0,2.7,0.66
Cole,Turner,TE,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,2500,31,0.0,3.2,7.5,2.6,1.04
N'Keal,Harry,WR,,6,2023-10-15,,MIN,CHI,-3,44,23.5,3000,19,0.0,2.0,5.9,2.6,0.87
Michael,Mayer,TE,,6,2023-10-15,,LV,NE,-3,41.5,22.3,2500,5,0.0,1.8,5.9,2.6,1.04
Terrace,Marshall Jr.,WR,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,3100,20,0.0,6.3,14.6,2.5,0.81
Isaiah,McKenzie,WR,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,3000,23,0.0,1.0,1.7,2.5,0.83
Cordarrelle,Patterson,RB,,6,2023-10-15,,ATL,WAS,-1,42.5,21.8,4000,12,0.0,7.2,20.4,2.5,0.63
Trenton,Irwin,WR,,6,2023-10-15,,CIN,SEA,-2.5,44.5,23.5,3300,32,0.0,3.7,14.0,2.4,0.73
Brock,Wright,TE,,6,2023-10-15,,DET,TB,-3,42.5,22.8,2500,13,0.0,1.7,4.6,2.3,0.92
